개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,건물용도명,기존게임업외업종명,노래방실수,데이터갱신시점,도로명주소,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,상세영업상태명,상세영업상태코드,소방시설여부,시설면적,영업상태코드,음향시설여부,자동환기여부,전화번호,제공게임물명,제작취급품목내용,조명시설유무,조명시설조도,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,청소년실수,청소년실여부,총게임기수,총층수,통로너비,특수조명여부,편의시설여부,최종수정시점
3000000,CDFF2241142008000008,2008-07-23,,취소/말소/만료/정지/중지,2013-07-05,,,,,게임천국,I,환경위생시설,,,2025-12-15 16:15:28,"서울특별시 종로구 인사동길 23  (인사동,(1층))",유통관련업,청소년게임제공업,,,,,직권말소,35,,214.5,04,,,,,"뮤직클럽, 워자이드드",,50,198713.721333434    ,452278.103938912    ,,서울특별시 종로구 인사동 170 (1층) ,1,,,,,70,8,,,,2013-07-05 13:34:56
3000000,CDFF2241142019000004,2019-06-13,,폐업,2023-08-31,,,,03112,뽑기#,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 389, 정우빌딩 1층 (숭인동)",유통관련업,청소년게임제공업,,,,,폐업,03,,24.94,03,,,,전체이용가,토이즈팝,,,201742.998482025    ,452496.336088655    ,,서울특별시 종로구 숭인동 183-9 정우빌딩 ,,,,,,13,,,,,2023-09-01 17:47:08
3000000,CDFF2241142012000001,2012-01-19,,취소/말소/만료/정지/중지,2013-07-05,,,,,21세기게임장,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 318, 1층 (창신동)",유통관련업,청소년게임제공업,,,,,직권말소,35,,85.05,04,,,,전체이용가,,,,201089.989130434    ,452192.646040943    ,,서울특별시 종로구 창신동 378 ,,,,,,,,,,,2013-07-05 13:36:59
3000000,CDFF2241142012000002,2012-06-04,,취소/말소/만료/정지/중지,2022-12-16,,,,03190,퍼니펀플스방,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 80-2, 지하1층 (종로2가)",유통관련업,청소년게임제공업,,,,,직권말소,35,,181.1,04,,,,전체이용가,"위닝일레븐 외39종(wii 2대, xbox360 2대)",,,198731.246361041    ,451962.63614134     ,,서울특별시 종로구 종로2가 75-6 지하1층 ,,,1,,,20,,,,,2022-12-15 17:29:16
3000000,CDFF2241142016000003,2016-09-28,,취소/말소/만료/정지/중지,2022-07-29,,,,03190,뽑다방,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 86-1, 1층 (종로2가)",유통관련업,청소년게임제공업,,,,,직권말소,35,,80.99,04,,,,전체이용가,"플러스 크레인 13대, 짱 1대, 럭셔리 자이언츠 1대",,,198790.560877431    ,451962.812628623    ,,서울특별시 종로구 종로2가 71-5 1층 ,,,,,,,,,,,2022-07-29 16:04:42
3000000,CDFF2241142016000006,2016-12-08,,취소/말소/만료/정지/중지,2022-07-29,,,,03197,동아게임장,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 256-1, 1층 (종로5가, 관음빌딩)",유통관련업,청소년게임제공업,,,,,직권말소,35,,28.95,04,,,,전체이용가,"토이즈팝 14대, 레인보우 플러스2 1대",,,200484.521522387    ,452062.817107053    ,,서울특별시 종로구 종로5가 273-1 1층 ,,,,,,15,,,,,2022-07-29 16:05:08
3000000,CDFF2241142017000004,2017-07-03,,취소/말소/만료/정지/중지,2022-07-29,,,,03190,에피소드2게임,I,,,,2025-12-15 16:15:28,서울특별시 종로구 청계천로 73 (관철동),유통관련업,청소년게임제공업,,,,,직권말소,35,,62.98,04,,,0215668789,전체이용가,"코코짱 8대, 큐브넘버5 4대, 캡슐로봇 2대",,,198683.848370092    ,451822.996762578    ,,,,,,,,14,,,,,2022-07-29 16:05:33
3000000,CDFF2241142017000007,2017-11-08,,취소/말소/만료/정지/중지,2022-07-29,,,,03119,동아게임장,I,,,,2025-12-15 16:15:28,서울특별시 종로구 종로 306-1 (창신동),유통관련업,청소년게임제공업,,,,,직권말소,35,,27,04,,,,전체이용가,"toyspop 10대, 레인보우플러스 1대",,,200976.072317154    ,452158.429262147    ,,서울특별시 종로구 창신동 510-3 ,,,,,,11,,,,,2022-07-29 16:05:52
3000000,CDFF2241142019000005,2019-10-22,,취소/말소/만료/정지/중지,2022-07-29,,,,03121,동대문 놀이터,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로54길 3, 1층 (창신동)",유통관련업,청소년게임제공업,,,,,직권말소,35,,26.4,04,,,,전체이용가,"뽀기뽀끼2 1대, 토이즈팝 8대",,,201168.898834698    ,452210.864096503    ,,서울특별시 종로구 창신동 330-18 ,,,,,,9,,,,,2022-07-29 16:06:13
3000000,CDFF2241142026000001,2026-03-19,,영업/정상,,,,,03190,모모스테이션 종각점,I,,,,2026-03-20 22:34:51,"서울특별시 종로구 삼일대로19길 21, 1층 (관철동)",유통관련업,청소년게임제공업,,,,,영업중,13,,42.98,01,,,,전체이용가,,,,198717.149231238    ,451910.28607839     ,,서울특별시 종로구 관철동 13-16 ,,,,,,20,,,,,2026-03-19 17:47:45
3000000,CDFF2241142008000007,2008-07-22,,영업/정상,,,,,03190,짱오락실 종로점,I,다중주택(공동주택적용),,,2025-12-15 16:15:28,서울특별시 종로구 종로14길 5 (관철동),유통관련업,청소년게임제공업,,,,,영업중,13,,337.11,01,,,,전체이용가,"철권6, 타임크라시스3, 레츠고정글",,50,198785.369566965    ,451947.74424616     ,,서울특별시 종로구 관철동 6-7 ,1,,,,,37,3,,,,2023-08-11 14:11:35
3000000,CDFF2241142009000003,2009-09-10,2009-11-18,취소/말소/만료/정지/중지,,,,,,명가 게임장,I,,,,2025-12-15 16:15:28,서울특별시 종로구 돈화문로5길 34-3  (낙원동),유통관련업,청소년게임제공업,,,,,등록취소,31,,59.13,04,,,,,,,,199048.040126558    ,452062.313675827    ,,서울특별시 종로구 낙원동 195-3 ,1,,,,,,1,,,,2009-11-26 11:08:54
3000000,CDFF2241142011000001,2011-03-23,2012-04-02,취소/말소/만료/정지/중지,,,,,,보람 게임랜드,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 308-1, 1층 (창신동)",유통관련업,청소년게임제공업,,,,,등록취소,31,,97.12,04,,,,전체이용가,오션시티(CC-NA--191222-004),,,200995.269706296    ,452163.561110871    ,,서울특별시 종로구 창신동 510 1층 ,,,,,,20,,,,,2012-04-03 10:45:57
3000000,CDFF2241142015000002,2015-05-20,,영업/정상,,,,,03034,옥인오락실,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 옥인길 28, 1층 (옥인동)",유통관련업,청소년게임제공업,,,,,영업중,13,,19.83,01,,,,전체이용가,노래하는 두더지 외 9종,,,197036.780848217    ,453186.345013507    ,,서울특별시 종로구 옥인동 156-7 1층 ,,,,,,11,,,,,2023-05-08 08:56:28
3000000,CDFF2241142008000005,2008-06-04,,영업/정상,,,,,03077,대빵 오락실,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 대명길 24, 성진빌딩 1~2층 (명륜2가)",유통관련업,청소년게임제공업,,,,,영업중,13,,195.58,01,,,,,"철권태그토너먼트, 킹오브파이더즈2003",,50,199951.97511202     ,453458.191077662    ,,서울특별시 종로구 명륜2가 36-1 성진빌딩 ,2,,,,,76,5,,,,2023-09-08 15:01:17
3000000,CDFF2241142016000005,2016-11-11,2018-04-02,취소/말소/만료/정지/중지,,,,,03121,로또게임랜드,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로54길 5, 2층 (창신동)",유통관련업,청소년게임제공업,,,,,등록취소,31,,86.28,04,,,,전체이용가,귀비 40대,,,201176.422969756    ,452198.434426133    ,,서울특별시 종로구 창신동 330-5 2층 ,,,,,,40,,,,,2018-05-11 16:23:55
3000000,CDFF2241142017000002,2017-03-07,,영업/정상,,,,,03041,TOP 인형뽑기,I,,,,2025-12-15 16:15:28,서울특별시 종로구 자하문로1길 21 (내자동),유통관련업,청소년게임제공업,,,,,영업중,13,,28,01,,,,전체이용가,뽀끼뽀끼2(제CC-NA-160831-008호),,,197385.478858353    ,452676.050178151    ,,,,,,,,6,,,,,2024-06-13 14:45:29
3000000,CDFF2241142017000003,2017-05-11,,영업/정상,,,,,03106,인형뽑기,I,,,,2025-12-15 16:15:28,서울특별시 종로구 창신길 12 (창신동),유통관련업,청소년게임제공업,,,,,영업중,13,,24,01,,,,전체이용가,"토이즈팝 7대, 럭셔리자이언츠 1대",,,200873.996485064    ,452206.310125207    ,,,1,,,,,8,,,,,2021-08-26 11:00:35
3000000,CDFF2241142020000001,2020-10-07,,영업/정상,,,,,03190,트레블 플스방,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 삼일대로15길 16, Lee's빌딩 지하1층 (관철동)",유통관련업,청소년게임제공업,,,,,영업중,13,,196.56,01,,,027309966,전체이용가,eFootball PES 2021 SEASON UPDATE 18대,,,198749.103805377    ,451851.568125671    ,,서울특별시 종로구 관철동 12-5 Lee's빌딩 ,,,,,,,,,,,2022-11-28 16:37:53
3000000,CDFF2241142023000001,2023-10-16,,영업/정상,,,,,03133,새서울 콤콤 오락실,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 돈화문로11길 28-5, 쎄느장여관 1층 (낙원동)",유통관련업,청소년게임제공업,,,,,영업중,13,,89.28,01,,,,전체이용가,"버트앤덩크, 마리오키트, 펌프잇업,스위트랜드, 렛츠고 아일랜드, 태고의 달인, 렛츠고 정글, 임챔프, 바시바시, 히들캐치, 스피드하키",,,199032.184941363    ,452280.659364163    ,기타,서울특별시 종로구 낙원동 122 쎄느장여관 ,,일반상업지역,,,,12,,,,,2024-02-19 18:45:58
3000000,CDFF2241142024000001,2024-10-08,,영업/정상,,,,,03189,리가 플스방,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 종로12길 16, 대성빌딩 4층 (관철동)",유통관련업,청소년게임제공업,,,,,영업중,13,,106.88,01,,,027209923,전체이용가,"피파, 마리오파티",,,198657.113035591    ,451894.389633456    ,기타,서울특별시 종로구 관철동 19-3 대성빌딩 ,4,일반상업지역,,,,34,,,,,2025-01-07 17:31:02
3000000,CDFF2241142024000002,2024-12-13,,영업/정상,,,,,03041,캐칭덕 경복궁역점,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 17, 1층 (체부동)",유통관련업,청소년게임제공업,,,,,영업중,13,,43.56,01,,,,전체이용가,"캐칭덕, 캐칭덕 4p",,599,197449.713911941    ,452809.42627496     ,,서울특별시 종로구 체부동 40 ,,일반주거지역,,,,24,,,,,2025-01-07 17:30:43
3000000,CDFF2241142024000003,2024-12-17,,영업/정상,,,,,03139,대빵 오락실,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 돈화문로11길 31, 1~3층 (낙원동)",유통관련업,청소년게임제공업,,,,,영업중,13,,359.7,01,,,,전체이용가,토이즈팝 미니 외15종,,124,199019.999408918    ,452234.195193816    ,기타,서울특별시 종로구 낙원동 132-1 132-11 ,3,일반상업지역,,,,52,3,,,,2025-01-07 17:30:23
3000000,CDFF2241142024000004,2024-12-19,,영업/정상,,,,,03190,지지 게임존,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 86, 보원빌딩 1층 (종로2가)",유통관련업,청소년게임제공업,,,,,영업중,13,,50,01,,,,전체이용가,"데스페라도3, 스마일스토리2, 스마일크레인등",,250,198783.190624716    ,451962.306911298    ,기타,서울특별시 종로구 종로2가 71-6 보원빌딩 ,,상업지역,,,,23,,,,,2025-01-07 17:29:45
3000000,CDFF2241142025000001,2025-03-07,,영업/정상,,,,,03190,캑티 가챠샵(CACTI GACHA SHOP) 종각점,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로12길 9, 영신빌딩 1,2층 (관철동)",유통관련업,청소년게임제공업,,,,,영업중,13,,151.6,01,,,,전체이용가,,,,198686.261724921    ,451927.600078519    ,,서울특별시 종로구 관철동 14-11 영신빌딩 ,,,,,,44,,,,,2025-03-07 13:09:38
3000000,CDFF2241142025000002,2025-09-18,,영업/정상,,,,,03139,지지게임존,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 수표로 112, 1층 (낙원동)",유통관련업,청소년게임제공업,,,,,영업중,13,,16.5,01,,,,전체이용가,토이즈팝 미니,,,198994.48584677     ,452101.151699707    ,,서울특별시 종로구 낙원동 176 ,,,,,,10,,,,,2025-09-18 13:39:29
3000000,CDFF2241142025000003,2025-09-25,,영업/정상,,,,,03195,모모스테이션 광장시장점,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 동호로 403-13, 1층 (종로5가)",유통관련업,청소년게임제공업,,,,,영업중,13,,74.38,01,,,,전체이용가,,,,200054.649339874    ,451999.059638511    ,,서울특별시 종로구 종로5가 395-1 ,,,,,,20,,,,,2025-09-25 14:55:39
3000000,CDFF2241142025000004,2025-11-27,,영업/정상,,,,,03133,모모스테이션 익선동점,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 돈화문로11길 38, 경한빌딩 1층 5호 (낙원동)",유통관련업,청소년게임제공업,,,,,영업중,13,,49.5,01,,,,전체이용가,,,,198986.25965889     ,452271.409343949    ,,서울특별시 종로구 낙원동 110 경한빌딩 ,,,,,,21,,,,,2025-11-27 13:10:17
3000000,CDFF2241142025000005,2025-12-17,,영업/정상,,,,,03189,wakuwaku,I,,,,2025-12-19 06:00:03,"서울특별시 종로구 종로12길 10, 종로우리빌딩 1~2층 (관철동)",유통관련업,청소년게임제공업,,,,,영업중,13,,184.91,01,,,,전체이용가,,,,198661.205715306    ,451931.761151028    ,,서울특별시 종로구 관철동 18-1 종로우리빌딩 ,,,,,,54,,,,,2025-12-17 17:32:17
3000000,CDFF2241142025000006,2025-12-17,,영업/정상,,,,,03079,블링팝,I,,,,2025-12-19 06:00:03,"서울특별시 종로구 창경궁로 236, 이화빌딩 1층 (명륜4가)",유통관련업,청소년게임제공업,,,,,영업중,13,,60,01,,,,전체이용가,,,,199821.627625442    ,453360.147414481    ,,서울특별시 종로구 명륜4가 187 이화빌딩 ,,,,,,30,,,,,2025-12-17 19:28:08
3000000,CDFF2241142007000001,2007-12-14,,폐업,2010-12-29,,,110-111,,GAME ZONE,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 청계천로 61  (관철동,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,80.7,03,,,,전체이용가,,,80,198545.22241783     ,451854.820889784    ,,서울특별시 종로구 관철동 43-8 (1층) ,,,,,,19,,,,,2010-12-29 17:37:57
3000000,CDFF2241142008000001,2008-03-26,,폐업,2014-05-12,,,,,PS3 GAMER,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 성균관로 18  (명륜2가,지하1층)",유통관련업,청소년게임제공업,,,,,폐업,03,,106,03,,,,전체이용가,"피파스트리트3, 심슨",,50,199723.347794924    ,453565.897387933    ,기타,서울특별시 종로구 명륜2가 143-9 지하1층 ,,일반주거지역,1,,,25,4,,,,2014-05-12 16:58:14
3000000,CDFF2241142008000002,2008-04-16,,폐업,2009-09-14,,,,,형제게임장,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 397  (숭인동,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,16.53,03,,,029232884,전체이용가,,,,201806.387536614    ,452520.617338288    ,,서울특별시 종로구 숭인동 1048 (1층) ,1,,,,,17,2,,,,2009-09-14 17:59:56
3000000,CDFF2241142008000003,2008-05-13,,폐업,2009-03-10,,,110-521,,메가플스 성균관대점,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 성균관로 44  (명륜1가,(지하1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,103,03,,,,,,,50,199649.590890597    ,453810.953756618    ,기타,서울특별시 종로구 명륜1가 75-1 (지하1층) ,,근린상업지역,1,,,17,5,,,,2009-03-11 13:32:14
3000000,CDFF2241142008000004,2008-05-23,,폐업,2014-05-08,,,,,삼성게임랜드,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 수표로 121-1 (낙원동,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,37.5,03,,,,전체이용가,"기가윙2, 라이덴철권6, 퍼즐보들",,50,198939.59376248     ,452197.789326773    ,,서울특별시 종로구 낙원동 225 (1층) ,1,,,,,27,4,,,,2014-05-08 11:19:17
3000000,CDFF2241142008000006,2008-06-11,,폐업,2019-01-29,,,,,에이스게임광장,I,기타,,,2025-12-15 16:15:28,"서울특별시 종로구 성균관로 13 (명륜2가,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,169.69,03,,,,,"미션크래프트, 금영퀴즈노래방, 철권5",,50,199728.673728992    ,453507.318524049    ,,서울특별시 종로구 명륜2가 222 (1층) ,1,,,,,46,4,,,,2019-01-29 20:52:43
3000000,CDFF2241142008000009,2008-09-09,,폐업,2012-02-27,,,,,용전자,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 옥인길 28  (옥인동,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,19.83,03,,,,,"철권5, 킹오브더파이터즈",,50,197036.780848217    ,453186.345013507    ,,서울특별시 종로구 옥인동 156-7 (1층) ,1,,,,,12,1,,,,2012-02-27 17:52:01
3000000,CDFF2241142008000010,2008-12-12,,폐업,2011-09-01,,,,,MILLZA(밀자)게임스테이션,I,사무실,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 51  (종로2가,(종로타워 지하1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,83.59,03,,,21983080,,"철권5, 포크리스2",,50,198504.772723631    ,452018.161511911    ,,서울특별시 종로구 종로2가 6 (종로타워 지하1층) ,,,1,,,32,24,,,,2011-09-01 16:27:25
3000000,CDFF2241142009000001,2009-04-22,,폐업,2018-02-26,,,,,플스하자,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 성균관로 21  (명륜2가,(지하1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,141.56,03,,,07077879070,,"검담무쌍, FIFA 09",,50,199679.728155938    ,453579.710857546    ,,서울특별시 종로구 명륜2가 138-1 (지하1층) ,,,1,,,26,3,,,,2018-02-26 13:27:54
3000000,CDFF2241142009000002,2009-05-04,,폐업,2009-07-13,,,,,백마게임랜드,I,근린생활시설,,,2025-12-15 16:15:28,"서울특별시 종로구 종로 302  (창신동,(1층))",유통관련업,청소년게임제공업,,,,,폐업,03,,95,03,,,,,,,50,200937.751336767    ,452148.428156447    ,,서울특별시 종로구 창신동 497-1 (1층) ,1,,,,,30,2,,,,2009-07-14 10:59:01
3000000,CDFF2241142009000004,2009-12-28,,폐업,2014-09-29,,,,,위너스플스방,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 종로46길 1  (창신동,지하1층)",유통관련업,청소년게임제공업,,,,,폐업,03,,60,03,,,07087247031,전체이용가,플레이스테이션(축구게임기),,,200899.709096426    ,452134.545425205    ,,서울특별시 종로구 창신동 464-4 지하1층 ,,,,,,,,,,,2014-09-29 17:24:47
3000000,CDFF2241142010000001,2010-10-07,,폐업,2020-07-13,,,,,위닝플스,I,,,,2025-12-15 16:15:28,"서울특별시 종로구 대명길 26  (명륜2가,(4층))",유통관련업,청소년게임제공업,,,,,폐업,03,,109.99,03,,,,전체이용가,위닝(축구게임),,,199940.215294772    ,453456.719494704    ,,서울특별시 종로구 명륜2가 38-3 (4층) ,,,,,,,,,,,2020-07-13 17:41:40
