연번,호선,고유역번호(외부역코드),역명,수송연월,승하차인원수
1,1,150,서울역(1),2024-01,3121572
2,1,151,시청(1),2024-01,1517476
3,1,152,종각,2024-01,2293243
4,1,153,종로3가(1),2024-01,1490871
5,1,154,종로5가,2024-01,1402547
6,1,155,동대문(1),2024-01,666749
7,1,156,신설동(1),2024-01,793203
8,1,157,제기동,2024-01,1044538
9,1,158,청량리,2024-01,1312055
10,1,159,동묘앞(1),2024-01,582990
11,2,201,시청(2),2024-01,1466087
12,2,202,을지로입구,2024-01,2819688
13,2,203,을지로3가(2),2024-01,1439991
14,2,204,을지로4가(2),2024-01,786410
15,2,205,동대문역사문화공원(2),2024-01,886268
16,2,206,신당(2),2024-01,890159
17,2,207,상왕십리,2024-01,824847
18,2,208,왕십리(2),2024-01,858884
19,2,209,한양대,2024-01,480998
20,2,210,뚝섬,2024-01,1440556
21,2,211,성수,2024-01,2498887
22,2,212,건대입구(2),2024-01,2257120
23,2,213,구의,2024-01,1427725
24,2,214,강변,2024-01,1786706
25,2,215,잠실나루,2024-01,864590
26,2,216,잠실(2),2024-01,4569441
27,2,217,잠실새내,2024-01,1368535
28,2,218,종합운동장(2),2024-01,505501
29,2,219,삼성,2024-01,3107675
30,2,220,선릉,2024-01,3029052
31,2,221,역삼,2024-01,3088949
32,2,222,강남,2024-01,4770093
33,2,223,교대(2),2024-01,1926459
34,2,224,서초,2024-01,1235337
35,2,225,방배,2024-01,895243
36,2,226,사당(2),2024-01,2503573
37,2,227,낙성대,2024-01,1572038
38,2,228,서울대입구,2024-01,2657376
39,2,229,봉천,2024-01,1364096
40,2,230,신림,2024-01,3143029
41,2,231,신대방,2024-01,1463390
42,2,232,구로디지털단지,2024-01,3316585
43,2,233,대림(2),2024-01,1438536
44,2,234,신도림,2024-01,2915991
45,2,235,문래,2024-01,1339805
46,2,236,영등포구청(2),2024-01,1312462
47,2,237,당산,2024-01,1095389
48,2,238,합정(2),2024-01,2029208
49,2,239,홍대입구,2024-01,4330383
50,2,240,신촌,2024-01,2209421
51,2,241,이대,2024-01,868755
52,2,242,아현,2024-01,590914
53,2,243,충정로(2),2024-01,603426
54,2,244,용답,2024-01,170980
55,2,245,신답,2024-01,101451
56,2,246,신설동(2),2024-01,224557
57,2,247,도림천,2024-01,77401
58,2,248,양천구청,2024-01,408138
59,2,249,신정네거리,2024-01,613614
60,2,250,용두,2024-01,149203
61,3,309,지축,2024-01,410988
62,3,310,구파발,2024-01,1229415
63,3,311,연신내(3),2024-01,1966587
64,3,312,불광(3),2024-01,984627
65,3,313,녹번,2024-01,857053
66,3,314,홍제,2024-01,1020469
67,3,315,무악재,2024-01,256404
68,3,316,독립문,2024-01,431741
69,3,317,경복궁,2024-01,1349801
70,3,318,안국,2024-01,1447656
71,3,319,종로3가(3),2024-01,674636
72,3,320,을지로3가(3),2024-01,690329
73,3,322,동대입구,2024-01,574422
74,3,323,약수(3),2024-01,741391
75,3,324,금호,2024-01,459114
76,3,325,옥수,2024-01,532572
77,3,326,압구정,2024-01,1935197
78,3,327,신사,2024-01,1706228
79,3,328,잠원,2024-01,279744
80,3,329,고속터미널(3),2024-01,2770791
81,3,330,교대(3),2024-01,761062
82,3,331,남부터미널,2024-01,1765688
83,3,332,양재,2024-01,2226793
84,3,333,매봉,2024-01,706508
85,3,334,도곡,2024-01,302998
86,3,335,대치,2024-01,753267
87,3,336,학여울,2024-01,130062
88,3,337,대청,2024-01,593318
89,3,338,일원,2024-01,627967
90,3,339,수서,2024-01,1123831
91,3,340,가락시장(3),2024-01,533158
92,3,341,경찰병원,2024-01,440425
93,3,342,오금(3),2024-01,367548
94,4,409,불암산,2024-01,527274
95,4,410,상계,2024-01,1082717
96,4,411,노원(4),2024-01,1805117
97,4,412,창동,2024-01,1593430
98,4,413,쌍문,2024-01,1632822
99,4,414,수유,2024-01,1969834
100,4,415,미아,2024-01,858949
101,4,416,미아사거리,2024-01,1550089
102,4,417,길음,2024-01,1199402
103,4,418,성신여대입구,2024-01,1178437
104,4,419,한성대입구,2024-01,738466
105,4,420,혜화,2024-01,2181454
106,4,421,동대문(4),2024-01,1123703
107,4,422,동대문역사문화공원(4),2024-01,984731
108,4,423,충무로(4),2024-01,1650226
109,4,424,명동,2024-01,1784070
110,4,425,회현,2024-01,1531488
111,4,426,서울역(4),2024-01,964819
112,4,427,숙대입구,2024-01,786802
113,4,428,삼각지(4),2024-01,408670
114,4,429,신용산,2024-01,1159384
115,4,430,이촌,2024-01,542137
116,4,431,동작,2024-01,102699
117,4,432,이수(총신대입구),2024-01,1176535
118,4,433,사당(4),2024-01,1472760
119,4,434,남태령,2024-01,72575
120,5,2511,방화,2024-01,402084
121,5,2512,개화산,2024-01,347082
122,5,2513,김포공항(5),2024-01,521188
123,5,2514,송정,2024-01,366871
124,5,2515,마곡,2024-01,697852
125,5,2516,발산,2024-01,1347448
126,5,2517,우장산,2024-01,834401
127,5,2518,화곡,2024-01,1619005
128,5,2519,까치산(5),2024-01,1615831
129,5,2520,신정,2024-01,717514
130,5,2521,목동,2024-01,996220
131,5,2522,오목교,2024-01,1296849
132,5,2523,양평(5),2024-01,440214
133,5,2524,영등포구청(5),2024-01,273573
134,5,2525,영등포시장,2024-01,683656
135,5,2526,신길(5),2024-01,280504
136,5,2527,여의도(5),2024-01,1693381
137,5,2528,여의나루,2024-01,657150
138,5,2529,마포,2024-01,866942
139,5,2530,공덕(5),2024-01,842216
140,5,2531,애오개,2024-01,390017
141,5,2532,충정로(5),2024-01,262880
142,5,2533,서대문,2024-01,1122925
143,5,2534,광화문,2024-01,1979415
144,5,2535,종로3가(5),2024-01,845099
145,5,2536,을지로4가(5),2024-01,369607
146,5,2537,동대문역사문화공원(5),2024-01,191585
147,5,2538,청구(5),2024-01,218557
148,5,2539,신금호,2024-01,376720
149,5,2540,행당,2024-01,450052
150,5,2541,왕십리(5),2024-01,292768
151,5,2542,마장,2024-01,334618
152,5,2543,답십리,2024-01,937562
153,5,2544,장한평,2024-01,1128569
154,5,2545,군자(5),2024-01,721983
155,5,2546,아차산,2024-01,839117
156,5,2547,광나루,2024-01,764815
157,5,2548,천호(5),2024-01,1154541
158,5,2549,강동,2024-01,1068182
159,5,2550,길동,2024-01,499318
160,5,2551,굽은다리,2024-01,569524
161,5,2552,명일,2024-01,535741
162,5,2553,고덕,2024-01,603958
163,5,2554,상일동,2024-01,835445
164,5,2555,둔촌동,2024-01,518710
165,5,2556,올림픽공원(5),2024-01,248058
166,5,2557,방이,2024-01,455231
167,5,2558,오금(5),2024-01,208658
168,5,2559,개롱,2024-01,382588
169,5,2560,거여,2024-01,576773
170,5,2561,마천,2024-01,416483
171,5,2562,강일,2024-01,321203
172,5,2563,미사,2024-01,1053184
173,5,2564,하남풍산,2024-01,266343
174,5,2565,하남시청,2024-01,466287
175,5,2566,하남검단산,2024-01,387489
176,6,2611,응암,2024-01,1023943
177,6,2612,역촌,2024-01,244425
178,6,2613,불광(6),2024-01,265293
179,6,2614,독바위,2024-01,168168
180,6,2616,구산,2024-01,410780
181,6,2617,새절,2024-01,708177
182,6,2618,증산,2024-01,574271
183,6,2619,디지털미디어시티(6),2024-01,886227
184,6,2620,월드컵경기장,2024-01,249509
185,6,2621,마포구청,2024-01,793890
186,6,2622,망원,2024-01,933040
187,6,2623,합정(6),2024-01,804749
188,6,2624,상수,2024-01,621962
189,6,2625,광흥창,2024-01,523449
190,6,2626,대흥,2024-01,508497
191,6,2627,공덕(6),2024-01,1070332
192,6,2628,효창공원앞,2024-01,397273
193,6,2629,삼각지(6),2024-01,405326
194,6,2630,녹사평,2024-01,294961
195,6,2631,이태원,2024-01,695231
196,6,2632,한강진,2024-01,619803
197,6,2633,버티고개,2024-01,125212
198,6,2634,약수(6),2024-01,218100
199,6,2635,청구(6),2024-01,220264
200,6,2636,신당(6),2024-01,524122
201,6,2637,동묘앞(6),2024-01,491665
202,6,2638,창신,2024-01,179759
203,6,2639,보문,2024-01,431295
204,6,2640,안암,2024-01,628812
205,6,2641,고려대,2024-01,454903
206,6,2642,월곡,2024-01,663280
207,6,2643,상월곡,2024-01,348070
208,6,2644,돌곶이,2024-01,562772
209,6,2645,석계(6),2024-01,719599
210,6,2646,태릉입구(6),2024-01,348362
211,6,2647,화랑대,2024-01,591513
212,6,2648,봉화산,2024-01,509898
213,7,2711,장암,2024-01,102973
214,7,2712,도봉산(7),2024-01,544950
215,7,2713,수락산,2024-01,711964
216,7,2714,마들,2024-01,723649
217,7,2715,노원(7),2024-01,1503288
218,7,2716,중계,2024-01,802622
219,7,2717,하계,2024-01,1002012
220,7,2718,공릉,2024-01,684832
221,7,2719,태릉입구(7),2024-01,487092
222,7,2720,먹골,2024-01,596858
223,7,2721,중화,2024-01,606624
224,7,2722,상봉(7),2024-01,993947
225,7,2723,면목,2024-01,847775
226,7,2724,사가정,2024-01,935629
227,7,2725,용마산,2024-01,334795
228,7,2726,중곡,2024-01,619331
229,7,2727,군자(7),2024-01,806335
230,7,2728,어린이대공원,2024-01,764206
231,7,2729,건대입구(7),2024-01,818261
232,7,2730,자양,2024-01,474059
233,7,2731,청담,2024-01,1138503
234,7,2732,강남구청,2024-01,985245
235,7,2733,학동,2024-01,1388457
236,7,2734,논현,2024-01,1065531
237,7,2735,반포,2024-01,355766
238,7,2736,고속터미널(7),2024-01,953399
239,7,2737,내방,2024-01,845447
240,7,2738,이수(7),2024-01,947002
241,7,2739,남성,2024-01,643525
242,7,2740,숭실대입구,2024-01,705651
243,7,2741,상도,2024-01,645849
244,7,2742,장승배기,2024-01,532551
245,7,2743,신대방삼거리,2024-01,851978
246,7,2744,보라매,2024-01,402723
247,7,2745,신풍,2024-01,638002
248,7,2746,대림(7),2024-01,551468
249,7,2747,남구로,2024-01,891957
250,7,2748,가산디지털단지(7),2024-01,2479940
251,7,2749,철산,2024-01,1257368
252,7,2750,광명사거리,2024-01,1197276
253,7,2751,천왕,2024-01,640983
254,7,2752,온수(7),2024-01,513289
255,8,2811,암사,2024-01,1030457
256,8,2812,천호(8),2024-01,973392
257,8,2813,강동구청,2024-01,624965
258,8,2814,몽촌토성,2024-01,410246
259,8,2815,잠실(8),2024-01,1084024
260,8,2816,석촌(8),2024-01,525326
261,8,2817,송파,2024-01,549351
262,8,2818,가락시장(8),2024-01,506540
263,8,2819,문정,2024-01,1275191
264,8,2820,장지,2024-01,952971
265,8,2821,복정(8),2024-01,487809
266,8,2822,산성,2024-01,360402
267,8,2823,남한산성입구,2024-01,706618
268,8,2824,단대오거리,2024-01,685437
269,8,2825,신흥,2024-01,316930
270,8,2826,수진,2024-01,310229
271,8,2827,모란(8),2024-01,262169
272,8,2828,남위례,2024-01,407726
273,9,4126,언주,2024-01,398349
274,9,4127,선정릉,2024-01,329185
275,9,4128,삼성중앙,2024-01,264534
276,9,4129,봉은사,2024-01,691953
277,9,4130,종합운동장(9),2024-01,169422
278,9,4131,삼전,2024-01,285957
279,9,4132,석촌고분,2024-01,258479
280,9,4133,석촌(9),2024-01,333679
281,9,4134,송파나루,2024-01,219364
282,9,4135,한성백제,2024-01,114595
283,9,4136,올림픽공원(9),2024-01,264625
284,9,4137,둔촌오륜,2024-01,38190
285,9,4138,중앙보훈병원,2024-01,406011
